Country	GWP07VA	GWP07GE	GWP07RL	GWP07CC
Moldova	0.32	0.44	0.51	0.23
Madagascar	0.50	0.43	0.73	0.46
Maldives	NA	NA	NA	NA
Mexico	0.30	0.64	0.59	0.24
Macedonia, FYR	0.31	0.53	0.60	0.26
Mali	0.40	0.33	0.71	0.30
Malta	NA	NA	NA	NA
Myanmar	NA	0.74	0.95	NA
Montenegro	0.42	0.44	0.63	0.54
Mongolia	0.20	0.48	0.54	0.21
Mozambique	0.45	0.68	0.59	0.25
Mauritania	0.56	0.34	0.65	0.52
Mauritius	NA	NA	NA	NA
Malawi	0.43	0.61	0.74	0.32
Malaysia	0.49	0.80	0.77	0.37
Namibia	0.73	0.65	0.75	0.16
Niger	0.45	0.40	0.73	0.35
Nigeria	0.18	0.39	0.59	0.08
Nicaragua	0.27	0.66	0.56	0.21
Netherlands	0.85	0.67	0.76	0.70
Norway	0.83	0.67	0.86	0.77
Nepal	0.24	0.66	0.67	0.18
New Zealand	0.71	0.62	0.70	0.72
Oman	NA	NA	NA	NA
Pakistan	0.24	0.55	0.62	0.33
Panama	0.37	0.54	0.54	0.09
Peru	0.31	0.50	0.44	0.12
Philippines	0.35	0.72	0.72	0.15
Poland	0.47	0.52	0.63	0.24
Puerto Rico	0.22	0.42	0.64	0.12
Portugal	0.59	0.69	0.67	0.38
Paraguay	0.15	0.56	0.49	0.14
Qatar	NA	NA	NA	NA
Romania	0.33	0.54	0.64	0.16
Russian Federation	0.19	0.39	0.49	0.20
Rwanda	0.93	0.66	0.87	0.78
Saudi Arabia	0.58	0.76	0.87	NA
Sudan	0.34	0.54	0.75	0.37
Senegal	0.31	0.46	0.69	0.30
Singapore	0.75	0.94	0.94	0.98
Sierra Leone	0.40	0.38	0.60	0.20
El Salvador	0.27	0.71	0.56	0.31
Somalia	NA	NA	NA	NA
Serbia	0.48	0.52	0.61	0.31
Suriname	NA	NA	NA	NA
Slovak Republic	0.44	0.41	0.56	0.16
Slovenia	0.73	0.62	0.64	0.56
Sweden	0.66	0.70	0.70	0.73
Swaziland	NA	NA	NA	NA
Syrian Arab Republic	NA	NA	NA	NA
Chad	0.10	0.20	0.37	0.15
Togo	0.21	0.35	0.55	0.29
Thailand	0.45	0.82	0.78	0.16
Tajikistan	0.36	0.53	0.78	0.65
Turkmenistan	NA	NA	NA	NA
Trinidad and Tobago	0.27	0.58	0.47	0.18
Tunisia	NA	0.66	0.89	NA
Turkey	0.44	0.57	0.76	0.35
Taiwan, China	0.17	0.65	0.57	0.20
Tanzania	0.63	0.44	0.78	0.37
Uganda	0.36	0.46	0.68	0.11
Ukraine	0.11	0.41	0.41	0.13
Uruguay	0.78	0.67	0.61	0.57
United States	0.48	0.60	0.77	0.34
Uzbekistan	NA	NA	0.96	0.65
Venezuela, RB	0.63	0.67	0.61	0.47
Vietnam	0.76	0.66	0.82	0.49
West Bank and Gaza	0.54	0.60	0.56	0.59
Yemen, Rep.	0.35	0.49	0.55	0.27
South Africa	0.49	0.52	0.65	0.29
Congo, Dem. Rep.	0.24	0.21	0.50	0.15
Zambia	0.21	0.52	0.58	0.09
Zimbabwe	0.14	0.45	0.52	0.15
