Country	GWP06VA	GWP06GE	GWP06RL	GWP06CC
Singapore	0.72	0.85	0.89	0.85
Sierra Leone	0.37	0.39	0.60	0.19
El Salvador	0.24	0.78	0.56	0.36
Somalia	NA	NA	NA	NA
Serbia	0.48	0.52	0.61	0.31
Suriname	NA	NA	NA	NA
Slovak Republic	0.44	0.41	0.56	0.16
Slovenia	0.73	0.62	0.64	0.56
Sweden	0.66	0.70	0.70	0.73
Swaziland	NA	NA	NA	NA
Syrian Arab Republic	NA	NA	NA	NA
Chad	0.09	0.22	0.39	0.09
Togo	0.21	0.35	0.55	0.29
Thailand	0.34	0.82	0.79	0.15
Tajikistan	0.36	0.48	0.67	0.56
Turkmenistan	NA	NA	NA	NA
Trinidad and Tobago	0.27	0.58	0.47	0.18
Tunisia	NA	NA	NA	NA
Turkey	0.48	0.48	0.69	0.35
Taiwan, China	0.17	0.65	0.57	0.20
Tanzania	0.64	0.41	0.74	0.49
Uganda	0.42	0.40	0.69	0.31
Ukraine	0.18	0.47	0.44	0.22
Uruguay	0.79	0.62	0.60	0.68
United States	0.50	0.63	0.76	0.40
Uzbekistan	NA	NA	0.96	0.65
Venezuela, RB	0.44	0.56	0.51	0.43
Vietnam	0.67	0.68	0.85	0.71
West Bank and Gaza	0.36	0.48	0.56	0.23
Yemen, Rep.	0.35	0.49	0.55	0.27
South Africa	0.49	0.52	0.65	0.29
Congo, Dem. Rep.	NA	NA	NA	NA
Zambia	0.24	0.57	0.63	0.24
Zimbabwe	0.20	0.45	0.57	0.15
